title,company,location,stipend,link,ats_score,apply_link
Data Analytics,Graps Marketing Pvt Ltd,Bhopal,"₹ 2,000 - 3,000 /month",https://internshala.com/internship/detail/data-analytics-internship-in-bhopal-at-graps-marketing-pvt-ltd1750491197,60,https://internshala.com/application/form/data-analytics-internship-in-bhopal-at-graps-marketing-pvt-ltd1750491197
Front End Development,Ghar Pe Shiksha,Delhi,"₹ 8,000 - 15,000 /month",https://internshala.com/internship/detail/front-end-development-internship-in-delhi-at-ghar-pe-shiksha1750161842,45,https://internshala.com/application/form/front-end-development-internship-in-delhi-at-ghar-pe-shiksha1750161842
WordPress Development,Orufy Technologies Private Limited,"Jaipur, Rajasthan","₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/wordpress-development-internship-in-multiple-locations-at-orufy-technologies-private-limited1749626907,45,https://internshala.com/application/form/wordpress-development-internship-in-multiple-locations-at-orufy-technologies-private-limited1749626907
Data Science Mentor,DevTown,Work from home,"₹ 10,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-data-science-mentor-internship-at-devtown1750493846,45,https://internshala.com/application/form/work-from-home-part-time-data-science-mentor-internship-at-devtown1750493846
AI/Prompt Engineer,DeepNexus.in,Work from home,"₹ 17,000 - 26,000 /month",https://internshala.com/internship/detail/work-from-home-ai-prompt-engineer-internship-at-deepnexusin1750488429,40,https://internshala.com/application/form/work-from-home-ai-prompt-engineer-internship-at-deepnexusin1750488429
Full Stack Development,DeepNexus.in,Work from home,"₹ 17,000 - 23,000 /month",https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-deepnexusin1750489674,40,https://internshala.com/application/form/work-from-home-full-stack-development-internship-at-deepnexusin1750489674
Artificial Intelligence (AI),Across The Globe (ATG),Work from home,"₹ 2,500 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-across-the-globe-atg1750503551,40,https://internshala.com/application/form/work-from-home-artificial-intelligence-ai-internship-at-across-the-globe-atg1750503551
WordPress Development,Beeyond Tech,Mumbai,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/wordpress-development-internship-in-mumbai-at-beeyond-tech1750487524,40,https://internshala.com/application/form/wordpress-development-internship-in-mumbai-at-beeyond-tech1750487524
ReactJS Development,Eventful India Marketing Services,Work from home,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-reactjs-development-internship-at-eventful-india-marketing-services1750506421,20,https://internshala.com/application/form/work-from-home-part-time-reactjs-development-internship-at-eventful-india-marketing-services1750506421
Machine Learning,Optimspace,Work from home,"₹ 7,500 - 15,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-machine-learning-internship-at-optimspace1750492001,20,https://internshala.com/application/form/work-from-home-part-time-machine-learning-internship-at-optimspace1750492001
